Turn,Happiness,Load
0,0,38
1,0,38
2,0,38
3,0,38
4,0,38
5,0,38
6,0,38
7,0,38
8,0,38
9,0,38
10,8,68
11,8,74
12,0,70
13,0,70
14,0,70
15,0,70
16,0,70
17,0,70
18,0,70
19,0,70
20,0,70
21,0,70
22,0,70
23,0,70
24,130,75
25,135,72
26,131,75
27,128,72
28,128,73
29,115,73
30,115,73
31,113,76
32,115,76
33,116,76
34,110,74
35,98,75
36,98,75
37,90,74
38,90,77
39,79,72
40,79,73
41,79,73
42,72,74
43,71,80
44,69,69
45,69,75
46,63,77
47,64,80
48,47,75
49,44,82
50,42,82
51,52,84
52,31,75
53,27,76
54,30,78
55,21,73
56,28,73
57,25,75
58,20,84
59,20,76
60,20,76
61,21,80
62,21,80
63,21,80
64,21,80
65,21,80
66,21,69
67,34,73
68,28,83
69,29,79
70,29,79
71,24,75
72,25,80
73,31,81
74,33,84
75,34,80
76,31,80
77,52,80
78,29,83
79,36,77
80,37,78
81,32,81
82,55,74
83,41,78
84,66,77
85,58,75
86,61,78
87,61,78
88,61,78
89,60,73
90,60,73
91,62,76
92,64,82
93,78,68
94,76,72
95,76,78
96,73,75
97,84,77
98,88,82
99,85,82
100,78,78
101,105,79
102,95,82
103,95,82
104,111,78
105,101,70
106,101,70
107,96,78
108,94,78
109,99,72
110,97,72
111,90,74
112,91,79
113,95,70
114,93,75
115,85,74
116,110,73
117,106,73
118,101,74
119,95,75
120,101,70
121,101,77
122,94,71
123,99,75
124,96,73
125,83,77
126,106,76
127,114,78
128,114,77
129,110,81
130,90,75
131,99,77
132,117,80
133,85,79
134,89,80
135,89,80
136,89,80
137,89,82
138,89,90
139,89,90
140,89,90
141,89,90
142,89,90
143,89,90
