Turn,Happiness,Load
0,0,31
1,0,31
2,0,31
3,0,31
4,0,31
5,0,31
6,0,31
7,0,31
8,0,31
9,0,31
10,7,36
11,7,36
12,7,36
13,7,36
14,7,36
15,7,36
16,7,36
17,7,36
18,7,36
19,7,36
20,7,36
21,7,36
22,7,36
23,7,36
24,7,36
25,7,36
26,7,36
27,7,36
28,7,36
29,7,36
30,7,36
31,7,36
32,7,36
33,7,36
34,7,36
35,7,36
36,7,36
37,7,36
38,7,36
39,7,36
40,7,36
41,7,36
42,7,36
43,7,36
44,7,36
45,7,36
46,7,36
47,7,36
48,7,36
49,7,36
50,7,36
51,7,36
52,7,36
53,7,36
54,7,36
55,7,36
56,7,36
57,7,36
58,7,36
59,7,36
60,7,36
61,7,36
62,7,36
63,7,36
64,7,36
65,7,36
66,7,36
67,7,36
68,7,36
69,7,36
70,7,36
71,7,36
72,7,36
73,7,36
74,7,36
75,7,36
76,7,36
77,7,36
78,7,36
79,7,36
80,7,36
81,7,36
82,7,36
83,7,36
84,7,36
85,7,36
86,7,36
87,7,36
88,7,36
89,7,36
90,7,36
91,7,36
92,7,36
93,7,36
94,7,36
95,7,36
96,7,36
97,7,36
98,7,36
99,7,36
100,7,36
101,7,36
102,7,36
103,7,36
104,7,36
105,7,36
106,7,36
107,7,36
108,7,36
109,7,36
110,7,36
111,7,36
112,7,36
113,7,36
114,7,36
115,7,36
116,7,36
117,7,36
118,7,36
119,7,36
120,7,36
121,7,36
122,7,36
123,7,36
124,7,36
125,7,36
126,7,36
127,7,36
128,7,36
129,7,36
130,7,36
131,7,36
132,7,36
133,7,36
134,7,36
135,7,36
136,7,36
137,7,36
138,7,36
139,7,36
140,7,36
141,7,36
142,7,36
143,7,36
