Turn,Happiness,Load
0,0,12
1,0,12
2,0,12
3,0,12
4,0,12
5,0,12
6,0,12
7,0,12
8,0,12
9,0,12
10,0,12
11,0,12
12,0,12
13,0,12
14,0,12
15,0,12
16,0,12
17,0,12
18,0,12
19,0,12
20,0,12
21,0,12
22,0,12
23,0,12
24,0,12
25,0,12
26,0,12
27,0,12
28,0,12
29,0,12
30,3,26
31,4,24
32,4,28
33,0,20
34,0,20
35,0,20
36,0,20
37,0,20
38,0,20
39,0,20
40,0,20
41,0,20
42,0,20
43,0,20
44,0,20
45,0,20
46,0,20
47,0,20
48,0,20
49,0,20
50,0,20
51,0,20
52,0,20
53,0,20
54,0,20
55,0,20
56,0,20
57,0,20
58,0,20
59,0,20
60,0,20
61,0,20
62,0,20
63,0,20
64,0,20
65,0,20
66,0,20
67,0,20
68,0,20
69,0,20
70,0,20
71,0,20
72,0,20
73,0,20
74,0,20
75,0,20
76,0,20
77,0,20
78,0,20
79,0,20
80,0,20
81,0,20
82,0,20
83,0,20
84,0,20
85,0,20
86,0,20
87,0,20
88,0,20
89,0,20
90,0,20
91,0,20
92,0,20
93,0,20
94,0,20
95,0,20
96,0,20
97,0,20
98,0,20
99,0,20
100,0,20
101,0,20
102,0,20
103,0,20
104,0,20
105,0,20
106,0,20
107,0,20
108,0,20
109,0,20
110,0,20
111,0,20
112,0,20
113,0,20
114,0,20
115,0,20
116,0,20
117,0,20
118,0,20
119,0,20
120,0,20
121,0,20
122,0,20
123,0,20
124,0,20
125,0,20
126,0,20
127,0,20
128,0,20
129,0,20
130,0,20
131,0,20
132,0,20
133,0,20
134,0,20
135,0,20
136,0,20
137,0,20
138,0,20
139,0,20
140,0,20
141,0,20
142,0,20
143,0,20
