Turn,Happiness,Load
0,0.0,157.0
1,0.0,157.0
2,0.0,157.0
3,0.0,157.0
4,0.0,157.0
5,0.0,157.0
6,0.0,157.0
7,0.0,157.0
8,0.0,157.0
9,0.0,157.0
10,0.0,157.0
11,0.0,157.0
12,0.0,157.0
13,0.0,157.0
14,0.0,157.0
15,0.0,157.0
16,0.0,157.0
17,0.0,157.0
18,0.0,157.0
19,0.0,157.0
20,0.0,157.0
21,0.0,157.0
22,0.0,157.0
23,0.0,157.0
24,0.0,157.0
25,0.0,157.0
26,0.0,157.0
27,0.0,157.0
28,0.0,157.0
29,0.0,187.0
30,3.0,194.0
31,6.0,194.0
32,6.0,194.0
33,6.0,194.0
34,6.0,194.0
35,6.0,194.0
36,6.0,194.0
37,6.0,194.0
38,6.0,194.0
39,6.0,194.0
40,6.0,194.0
41,6.0,194.0
42,6.0,194.0
43,6.0,194.0
44,6.0,194.0
45,6.0,194.0
46,6.0,194.0
47,6.0,194.0
48,6.0,194.0
49,6.0,194.0
50,6.0,194.0
51,6.0,194.0
52,6.0,194.0
53,6.0,194.0
54,6.0,194.0
55,6.0,194.0
56,6.0,194.0
57,6.0,194.0
58,6.0,194.0
59,6.0,194.0
60,6.0,194.0
61,6.0,194.0
62,6.0,194.0
63,6.0,194.0
64,6.0,194.0
65,6.0,194.0
66,6.0,194.0
67,6.0,194.0
68,6.0,194.0
69,6.0,194.0
70,6.0,194.0
71,6.0,194.0
72,6.0,194.0
73,6.0,194.0
74,6.0,194.0
75,6.0,194.0
76,6.0,194.0
77,6.0,194.0
78,6.0,194.0
79,6.0,194.0
80,6.0,194.0
81,6.0,194.0
82,6.0,194.0
83,6.0,194.0
84,6.0,194.0
85,6.0,194.0
86,6.0,194.0
87,6.0,194.0
88,6.0,194.0
89,6.0,194.0
90,6.0,194.0
91,6.0,194.0
92,6.0,194.0
93,6.0,194.0
94,6.0,194.0
95,6.0,194.0
96,6.0,194.0
97,6.0,194.0
98,6.0,194.0
99,6.0,194.0
100,6.0,194.0
101,6.0,194.0
102,6.0,194.0
103,6.0,194.0
104,6.0,194.0
105,6.0,194.0
106,6.0,194.0
107,6.0,194.0
108,6.0,194.0
109,6.0,194.0
110,6.0,194.0
111,6.0,194.0
112,6.0,194.0
113,6.0,194.0
114,6.0,194.0
115,6.0,194.0
116,6.0,194.0
117,6.0,194.0
118,6.0,194.0
119,6.0,194.0
120,6.0,194.0
121,6.0,194.0
122,6.0,194.0
123,6.0,194.0
124,6.0,194.0
125,6.0,194.0
126,6.0,194.0
127,6.0,194.0
128,6.0,194.0
129,6.0,194.0
130,6.0,194.0
131,6.0,194.0
132,6.0,194.0
133,6.0,194.0
134,6.0,194.0
135,6.0,194.0
136,6.0,198.0
137,15.0,198.0
138,15.0,198.0
139,15.0,198.0
140,15.0,198.0
141,15.0,198.0
142,15.0,198.0
143,15.0,198.0
