Turn,Happiness,Load
0,0.0,143.0
1,0.0,143.0
2,0.0,143.0
3,0.0,143.0
4,0.0,143.0
5,0.0,143.0
6,0.0,143.0
7,0.0,143.0
8,0.0,143.0
9,0.0,143.0
10,0.0,177.0
11,3.0,177.0
12,3.0,177.0
13,3.0,177.0
14,3.0,177.0
15,3.0,177.0
16,3.0,177.0
17,3.0,177.0
18,3.0,177.0
19,3.0,177.0
20,3.0,177.0
21,3.0,177.0
22,3.0,177.0
23,3.0,177.0
24,3.0,177.0
25,3.0,177.0
26,3.0,177.0
27,3.0,177.0
28,3.0,177.0
29,3.0,177.0
30,3.0,177.0
31,3.0,177.0
32,3.0,177.0
33,3.0,177.0
34,3.0,177.0
35,3.0,177.0
36,3.0,177.0
37,3.0,177.0
38,3.0,177.0
39,3.0,177.0
40,3.0,177.0
41,3.0,177.0
42,3.0,177.0
43,3.0,177.0
44,3.0,177.0
45,3.0,177.0
46,3.0,177.0
47,3.0,177.0
48,3.0,177.0
49,3.0,177.0
50,3.0,177.0
51,3.0,177.0
52,3.0,177.0
53,3.0,177.0
54,3.0,177.0
55,3.0,177.0
56,3.0,177.0
57,3.0,181.0
58,6.0,188.0
59,6.0,188.0
60,6.0,188.0
61,6.0,188.0
62,6.0,188.0
63,6.0,188.0
64,6.0,188.0
65,6.0,188.0
66,6.0,188.0
67,6.0,188.0
68,6.0,188.0
69,6.0,188.0
70,6.0,188.0
71,6.0,188.0
72,6.0,188.0
73,6.0,188.0
74,6.0,188.0
75,6.0,188.0
76,6.0,188.0
77,6.0,188.0
78,6.0,188.0
79,6.0,188.0
80,6.0,188.0
81,6.0,188.0
82,6.0,188.0
83,6.0,188.0
84,6.0,188.0
85,6.0,188.0
86,6.0,188.0
87,6.0,188.0
88,6.0,188.0
89,6.0,188.0
90,6.0,188.0
91,6.0,188.0
92,6.0,188.0
93,6.0,188.0
94,6.0,188.0
95,6.0,188.0
96,6.0,188.0
97,6.0,188.0
98,6.0,188.0
99,6.0,188.0
100,6.0,188.0
101,6.0,188.0
102,6.0,188.0
103,6.0,188.0
104,6.0,188.0
105,6.0,188.0
106,6.0,188.0
107,6.0,188.0
108,6.0,188.0
109,6.0,188.0
110,6.0,188.0
111,6.0,188.0
112,6.0,188.0
113,6.0,188.0
114,6.0,188.0
115,6.0,188.0
116,6.0,188.0
117,6.0,188.0
118,6.0,188.0
119,6.0,188.0
120,6.0,188.0
121,6.0,188.0
122,6.0,188.0
123,6.0,188.0
124,6.0,188.0
125,6.0,188.0
126,6.0,188.0
127,6.0,188.0
128,6.0,188.0
129,6.0,188.0
130,6.0,188.0
131,6.0,188.0
132,6.0,188.0
133,6.0,188.0
134,6.0,188.0
135,6.0,188.0
136,6.0,188.0
137,6.0,188.0
138,6.0,188.0
139,6.0,207.0
140,4.0,180.0
141,0.0,180.0
142,0.0,180.0
143,0.0,180.0
