Turn,Happiness,Load
0,0,8
1,0,8
2,0,8
3,0,8
4,0,8
5,0,8
6,0,8
7,0,8
8,0,8
9,0,8
10,0,8
11,0,8
12,0,8
13,0,8
14,0,8
15,0,8
16,0,8
17,0,8
18,0,8
19,0,8
20,0,8
21,0,8
22,0,8
23,0,8
24,0,8
25,0,8
26,0,8
27,0,8
28,4,15
29,0,9
30,0,9
31,0,9
32,0,9
33,0,9
34,0,9
35,0,9
36,0,9
37,0,9
38,0,9
39,0,9
40,0,9
41,0,9
42,0,9
43,0,9
44,0,9
45,0,9
46,0,9
47,0,9
48,0,9
49,0,9
50,0,9
51,0,9
52,0,9
53,0,9
54,0,9
55,0,9
56,0,9
57,0,9
58,0,9
59,0,9
60,0,9
61,0,9
62,0,9
63,0,9
64,0,9
65,0,9
66,0,9
67,0,9
68,0,9
69,0,9
70,0,9
71,0,9
72,0,9
73,0,9
74,0,9
75,0,9
76,0,9
77,0,9
78,0,9
79,0,9
80,0,9
81,0,9
82,0,9
83,0,9
84,0,9
85,0,9
86,0,9
87,0,9
88,0,9
89,0,9
90,0,9
91,0,9
92,0,9
93,0,9
94,0,9
95,0,9
96,0,9
97,0,9
98,0,9
99,0,9
100,0,9
101,0,9
102,0,9
103,0,9
104,0,9
105,0,9
106,0,9
107,0,9
108,0,9
109,0,9
110,0,9
111,0,9
112,0,9
113,0,9
114,0,9
115,0,9
116,0,9
117,0,9
118,0,9
119,0,9
120,0,9
121,0,9
122,0,9
123,0,9
124,0,9
125,0,9
126,0,9
127,0,9
128,0,9
129,0,9
130,0,9
131,0,9
132,0,9
133,0,9
134,0,9
135,0,9
136,0,9
137,0,9
138,0,9
139,0,9
140,0,9
141,0,9
142,0,9
143,0,9
