Turn,Happiness,Load
0,0,27
1,0,27
2,0,27
3,0,27
4,0,27
5,0,27
6,0,27
7,0,27
8,0,27
9,0,27
10,0,27
11,0,27
12,0,27
13,0,27
14,0,27
15,0,27
16,0,27
17,0,27
18,0,27
19,0,27
20,0,27
21,0,27
22,0,27
23,0,27
24,0,27
25,0,27
26,0,27
27,0,27
28,0,27
29,0,27
30,0,27
31,0,27
32,0,27
33,0,27
34,0,27
35,0,27
36,0,27
37,0,27
38,0,27
39,0,27
40,0,27
41,0,27
42,0,27
43,6,32
44,6,32
45,6,32
46,6,32
47,6,32
48,6,32
49,6,32
50,6,32
51,6,32
52,6,32
53,6,32
54,6,32
55,6,32
56,6,32
57,6,32
58,6,32
59,6,32
60,6,32
61,6,32
62,6,32
63,6,32
64,6,32
65,6,32
66,6,32
67,6,32
68,6,32
69,6,32
70,6,32
71,6,32
72,6,32
73,6,32
74,6,32
75,6,32
76,6,32
77,6,32
78,6,32
79,6,32
80,6,32
81,6,32
82,6,32
83,6,32
84,6,32
85,6,32
86,6,32
87,6,32
88,6,32
89,6,32
90,6,32
91,6,32
92,6,32
93,6,32
94,6,32
95,6,32
96,6,32
97,6,32
98,6,32
99,6,32
100,6,32
101,6,32
102,6,32
103,6,32
104,6,32
105,6,32
106,6,32
107,6,32
108,6,32
109,6,32
110,6,32
111,6,32
112,6,32
113,6,32
114,6,32
115,6,32
116,6,32
117,6,32
118,6,32
119,6,32
120,6,32
121,6,32
122,6,32
123,6,32
124,6,32
125,6,32
126,6,32
127,6,32
128,6,32
129,6,32
130,6,32
131,6,32
132,0,48
133,0,48
134,0,48
135,0,48
136,0,48
137,0,42
138,0,42
139,4,50
140,4,49
141,0,41
142,0,41
143,0,41
