Turn,Happiness,Load
0,0,26
1,0,26
2,0,26
3,0,26
4,0,26
5,0,26
6,0,26
7,0,26
8,0,26
9,0,26
10,0,26
11,0,26
12,0,26
13,0,26
14,0,26
15,0,26
16,0,26
17,0,26
18,0,26
19,0,26
20,0,26
21,0,26
22,0,26
23,0,26
24,0,26
25,0,26
26,0,26
27,0,26
28,0,26
29,0,26
30,0,26
31,0,26
32,0,26
33,0,26
34,0,26
35,0,26
36,0,26
37,0,26
38,0,26
39,0,26
40,0,26
41,0,26
42,0,26
43,0,26
44,0,26
45,0,26
46,0,26
47,0,26
48,0,26
49,0,26
50,0,26
51,0,26
52,0,26
53,0,26
54,0,26
55,0,26
56,0,26
57,0,26
58,0,26
59,0,26
60,0,26
61,0,26
62,0,26
63,0,26
64,0,26
65,0,26
66,0,26
67,0,26
68,0,26
69,0,26
70,0,26
71,0,26
72,0,26
73,0,26
74,0,26
75,0,26
76,0,26
77,0,26
78,0,26
79,0,26
80,0,26
81,0,26
82,0,26
83,0,26
84,0,26
85,0,26
86,0,26
87,0,26
88,0,26
89,0,26
90,0,26
91,0,26
92,0,26
93,0,26
94,0,26
95,0,26
96,0,26
97,0,26
98,0,26
99,0,26
100,4,37
101,0,32
102,0,32
103,0,32
104,0,32
105,0,32
106,0,32
107,0,32
108,0,32
109,0,32
110,0,32
111,0,32
112,0,32
113,0,32
114,0,34
115,0,44
116,0,40
117,0,42
118,0,37
119,0,38
120,0,45
121,0,42
122,0,41
123,0,45
124,0,38
125,0,40
126,0,46
127,0,49
128,0,49
129,0,49
130,0,49
131,0,49
132,0,49
133,0,49
134,0,49
135,0,49
136,0,49
137,0,49
138,0,49
139,0,49
140,0,49
141,0,49
142,0,49
143,0,49
