Turn,Happiness,Load
0,0,19
1,0,19
2,0,19
3,0,19
4,0,19
5,0,19
6,0,19
7,0,19
8,0,19
9,0,19
10,0,19
11,0,19
12,0,19
13,0,19
14,0,19
15,0,19
16,0,19
17,0,19
18,0,19
19,0,19
20,0,19
21,0,19
22,0,19
23,0,19
24,0,19
25,0,19
26,0,19
27,0,19
28,0,19
29,0,19
30,0,19
31,0,19
32,0,19
33,0,19
34,0,19
35,0,19
36,0,19
37,0,19
38,0,19
39,0,19
40,0,19
41,0,19
42,0,19
43,0,19
44,0,19
45,3,27
46,3,27
47,3,27
48,3,27
49,3,27
50,3,27
51,3,27
52,3,27
53,3,27
54,3,27
55,3,27
56,3,27
57,3,27
58,3,27
59,3,27
60,3,27
61,3,27
62,3,27
63,3,27
64,3,27
65,3,27
66,3,27
67,3,27
68,3,27
69,3,27
70,3,27
71,3,27
72,3,27
73,3,27
74,3,27
75,3,27
76,3,27
77,3,27
78,3,27
79,3,27
80,3,27
81,3,27
82,3,27
83,3,27
84,3,27
85,3,27
86,3,27
87,3,27
88,3,27
89,3,27
90,3,27
91,3,27
92,3,27
93,3,27
94,3,27
95,3,27
96,3,27
97,3,27
98,3,27
99,3,27
100,3,27
101,3,27
102,3,27
103,3,27
104,3,27
105,3,27
106,3,27
107,3,27
108,3,27
109,3,27
110,3,27
111,3,27
112,3,27
113,3,27
114,3,27
115,3,27
116,3,27
117,3,27
118,3,27
119,3,27
120,3,27
121,3,27
122,3,27
123,3,27
124,3,27
125,3,27
126,3,27
127,3,27
128,3,27
129,3,27
130,3,27
131,3,27
132,3,27
133,3,27
134,3,27
135,3,27
136,3,27
137,3,27
138,3,27
139,3,27
140,3,27
141,3,27
142,3,27
143,0,0
