Turn,Happiness,Load
0,0,33
1,0,33
2,0,36
3,0,39
4,0,46
5,0,56
6,0,54
7,0,50
8,0,50
9,0,54
10,0,53
11,0,48
12,0,46
13,0,45
14,0,40
15,0,41
16,0,38
17,0,35
18,0,37
19,0,39
20,0,41
21,0,36
22,0,38
23,0,39
24,2,47
25,2,48
26,0,43
27,0,37
28,0,35
29,0,36
30,0,36
31,0,36
32,0,36
33,0,36
34,0,36
35,0,36
36,0,36
37,0,36
38,0,36
39,0,36
40,0,36
41,0,36
42,0,36
43,0,36
44,0,36
45,0,36
46,0,36
47,0,36
48,0,36
49,0,36
50,0,36
51,0,36
52,0,36
53,0,36
54,0,36
55,0,36
56,0,36
57,0,36
58,0,36
59,0,36
60,0,36
61,0,36
62,0,36
63,0,36
64,0,36
65,0,36
66,0,36
67,0,36
68,0,36
69,0,36
70,0,36
71,0,36
72,0,36
73,0,36
74,0,36
75,0,36
76,0,36
77,0,36
78,0,36
79,0,36
80,0,36
81,0,36
82,0,36
83,0,36
84,0,36
85,0,36
86,0,36
87,0,36
88,0,36
89,0,36
90,0,36
91,0,36
92,0,36
93,0,36
94,0,36
95,0,36
96,0,36
97,0,36
98,0,36
99,0,36
100,0,36
101,0,36
102,0,36
103,0,36
104,0,36
105,0,36
106,0,36
107,0,36
108,0,36
109,0,36
110,0,36
111,0,36
112,0,36
113,0,36
114,0,36
115,0,36
116,0,36
117,0,36
118,0,36
119,0,36
120,0,36
121,0,36
122,0,43
123,0,47
124,0,50
125,0,40
126,0,40
127,0,40
128,0,40
129,0,40
130,0,40
131,0,40
132,0,40
133,0,40
134,0,40
135,0,40
136,0,40
137,0,40
138,0,40
139,0,40
140,0,40
141,0,40
142,0,40
143,0,40
