Turn,Happiness,Load
0,360.0,149.0
1,360.0,149.0
2,360.0,149.0
3,360.0,149.0
4,360.0,149.0
5,360.0,149.0
6,360.0,149.0
7,360.0,149.0
8,360.0,149.0
9,360.0,149.0
10,360.0,149.0
11,360.0,149.0
12,360.0,149.0
13,360.0,149.0
14,360.0,149.0
15,360.0,149.0
16,360.0,149.0
17,360.0,149.0
18,360.0,149.0
19,360.0,149.0
20,360.0,149.0
21,360.0,149.0
22,360.0,149.0
23,360.0,149.0
24,360.0,149.0
25,360.0,149.0
26,360.0,149.0
27,360.0,149.0
28,360.0,149.0
29,360.0,149.0
30,360.0,149.0
31,360.0,149.0
32,360.0,149.0
33,360.0,149.0
34,360.0,149.0
35,360.0,149.0
36,360.0,149.0
37,360.0,149.0
38,360.0,149.0
39,360.0,149.0
40,360.0,149.0
41,360.0,149.0
42,360.0,149.0
43,360.0,149.0
44,360.0,149.0
45,360.0,149.0
46,360.0,149.0
47,360.0,149.0
48,360.0,149.0
49,360.0,149.0
50,360.0,149.0
51,360.0,149.0
52,360.0,149.0
53,360.0,149.0
54,360.0,149.0
55,360.0,149.0
56,360.0,149.0
57,360.0,149.0
58,360.0,149.0
59,360.0,149.0
60,360.0,149.0
61,360.0,149.0
62,360.0,149.0
63,360.0,149.0
64,360.0,149.0
65,360.0,149.0
66,360.0,149.0
67,360.0,149.0
68,360.0,149.0
69,360.0,149.0
70,360.0,149.0
71,360.0,149.0
72,360.0,149.0
73,360.0,149.0
74,360.0,149.0
75,360.0,149.0
76,360.0,149.0
77,360.0,149.0
78,360.0,149.0
79,360.0,149.0
80,360.0,149.0
81,360.0,149.0
82,360.0,149.0
83,360.0,149.0
84,360.0,149.0
85,360.0,149.0
86,360.0,149.0
87,360.0,149.0
88,360.0,149.0
89,360.0,149.0
90,360.0,149.0
91,360.0,149.0
92,360.0,149.0
93,360.0,149.0
94,360.0,149.0
95,360.0,149.0
96,360.0,149.0
97,360.0,149.0
98,360.0,149.0
99,360.0,149.0
100,360.0,149.0
101,360.0,149.0
102,360.0,149.0
103,360.0,149.0
104,360.0,149.0
105,360.0,149.0
106,360.0,149.0
107,360.0,149.0
108,360.0,149.0
109,360.0,149.0
110,360.0,149.0
111,360.0,149.0
112,360.0,149.0
113,360.0,149.0
114,360.0,149.0
115,360.0,149.0
116,360.0,149.0
117,360.0,149.0
118,360.0,149.0
119,360.0,149.0
120,360.0,149.0
121,360.0,149.0
122,360.0,149.0
123,360.0,149.0
124,360.0,149.0
125,360.0,149.0
126,360.0,149.0
127,360.0,149.0
128,360.0,149.0
129,360.0,149.0
130,360.0,149.0
131,360.0,149.0
132,360.0,149.0
133,360.0,149.0
134,360.0,149.0
135,360.0,149.0
136,360.0,149.0
137,360.0,149.0
138,360.0,149.0
139,360.0,149.0
140,360.0,149.0
141,360.0,149.0
142,360.0,149.0
143,360.0,149.0
