Turn,Happiness,Load
0,0,40
1,0,40
2,0,40
3,0,40
4,0,40
5,0,40
6,0,71
7,0,74
8,0,74
9,0,68
10,0,71
11,0,65
12,0,63
13,0,63
14,0,62
15,0,59
16,0,61
17,0,58
18,0,53
19,0,60
20,0,58
21,0,58
22,0,58
23,0,58
24,0,58
25,0,58
26,0,58
27,0,58
28,0,58
29,0,58
30,0,58
31,0,58
32,0,58
33,0,58
34,0,58
35,0,58
36,0,58
37,0,58
38,0,58
39,0,58
40,0,58
41,0,58
42,0,58
43,0,58
44,0,58
45,0,58
46,0,58
47,0,58
48,0,58
49,0,58
50,0,58
51,0,58
52,0,58
53,0,58
54,0,58
55,0,58
56,0,58
57,0,58
58,0,58
59,0,58
60,0,58
61,0,58
62,0,58
63,0,58
64,0,58
65,0,58
66,0,58
67,0,58
68,0,58
69,0,58
70,0,58
71,0,58
72,0,58
73,0,58
74,0,58
75,0,58
76,0,58
77,0,58
78,0,58
79,0,58
80,0,58
81,0,58
82,0,58
83,0,58
84,0,58
85,0,58
86,0,58
87,0,58
88,0,58
89,0,58
90,0,58
91,0,58
92,0,58
93,0,58
94,0,58
95,0,58
96,0,58
97,0,58
98,0,58
99,0,58
100,0,58
101,0,58
102,0,58
103,0,58
104,0,58
105,0,58
106,0,58
107,0,58
108,0,58
109,0,58
110,0,58
111,0,58
112,0,58
113,0,58
114,0,58
115,0,58
116,0,58
117,0,58
118,0,58
119,0,71
120,0,71
121,0,71
122,0,71
123,0,71
124,0,71
125,0,71
126,0,71
127,0,71
128,0,71
129,0,71
130,0,71
131,0,71
132,0,71
133,0,71
134,0,71
135,0,71
136,0,71
137,0,71
138,0,71
139,0,71
140,0,71
141,0,71
142,0,71
143,0,71
