Turn,Happiness,Load
0,0,41
1,0,41
2,0,41
3,0,41
4,0,41
5,0,41
6,0,41
7,0,41
8,0,41
9,0,41
10,0,41
11,0,41
12,0,41
13,0,41
14,0,41
15,0,41
16,0,41
17,0,41
18,0,41
19,0,41
20,0,41
21,0,41
22,0,41
23,0,41
24,0,41
25,0,41
26,0,41
27,0,41
28,0,41
29,0,41
30,0,41
31,0,41
32,0,41
33,0,41
34,0,41
35,0,41
36,0,41
37,0,41
38,0,41
39,0,41
40,0,41
41,0,41
42,0,41
43,0,41
44,0,41
45,0,41
46,0,41
47,0,41
48,0,41
49,0,41
50,0,41
51,0,41
52,0,41
53,0,41
54,0,41
55,0,41
56,0,41
57,0,41
58,0,41
59,0,41
60,0,41
61,0,41
62,0,41
63,0,41
64,0,41
65,0,41
66,0,41
67,0,41
68,0,41
69,0,41
70,0,41
71,0,41
72,0,41
73,0,41
74,0,41
75,0,41
76,0,41
77,0,41
78,0,41
79,0,41
80,0,41
81,0,41
82,0,41
83,0,41
84,0,41
85,0,41
86,0,41
87,0,41
88,0,41
89,0,41
90,0,41
91,0,41
92,0,41
93,0,41
94,0,41
95,0,41
96,0,41
97,0,41
98,0,41
99,0,41
100,0,41
101,0,41
102,0,41
103,0,41
104,0,41
105,0,41
106,0,41
107,0,41
108,0,41
109,0,41
110,0,41
111,0,41
112,0,41
113,0,41
114,0,41
115,0,41
116,0,41
117,0,74
118,0,74
119,0,74
120,0,74
121,0,74
122,0,74
123,0,74
124,0,74
125,0,74
126,0,74
127,0,74
128,0,74
129,0,74
130,0,74
131,0,74
132,0,74
133,0,74
134,0,74
135,0,74
136,0,74
137,0,74
138,0,74
139,0,74
140,0,74
141,0,14
142,0,14
143,0,14
