Turn,Happiness,Load
0,0.0,151.0
1,0.0,151.0
2,0.0,151.0
3,0.0,151.0
4,0.0,151.0
5,0.0,151.0
6,0.0,151.0
7,0.0,151.0
8,0.0,151.0
9,0.0,151.0
10,0.0,151.0
11,0.0,151.0
12,0.0,151.0
13,0.0,151.0
14,0.0,151.0
15,0.0,151.0
16,0.0,151.0
17,0.0,151.0
18,0.0,151.0
19,0.0,151.0
20,0.0,151.0
21,0.0,151.0
22,0.0,151.0
23,0.0,151.0
24,0.0,151.0
25,0.0,151.0
26,0.0,151.0
27,0.0,151.0
28,0.0,151.0
29,0.0,151.0
30,0.0,151.0
31,0.0,151.0
32,0.0,151.0
33,0.0,151.0
34,0.0,151.0
35,0.0,151.0
36,0.0,151.0
37,0.0,151.0
38,0.0,151.0
39,0.0,151.0
40,0.0,151.0
41,0.0,151.0
42,0.0,151.0
43,0.0,151.0
44,0.0,151.0
45,0.0,151.0
46,0.0,187.0
47,2.0,187.0
48,2.0,187.0
49,2.0,187.0
50,2.0,187.0
51,2.0,187.0
52,2.0,187.0
53,2.0,187.0
54,2.0,187.0
55,2.0,187.0
56,2.0,187.0
57,2.0,187.0
58,2.0,187.0
59,2.0,187.0
60,2.0,187.0
61,2.0,187.0
62,2.0,187.0
63,2.0,187.0
64,2.0,187.0
65,2.0,187.0
66,2.0,187.0
67,2.0,187.0
68,2.0,187.0
69,2.0,187.0
70,2.0,187.0
71,2.0,187.0
72,2.0,187.0
73,2.0,187.0
74,2.0,187.0
75,2.0,187.0
76,2.0,187.0
77,2.0,187.0
78,2.0,187.0
79,2.0,187.0
80,2.0,187.0
81,2.0,187.0
82,2.0,195.0
83,3.0,195.0
84,3.0,195.0
85,3.0,195.0
86,3.0,195.0
87,3.0,195.0
88,3.0,195.0
89,3.0,195.0
90,3.0,195.0
91,3.0,195.0
92,3.0,195.0
93,3.0,195.0
94,3.0,195.0
95,3.0,195.0
96,3.0,195.0
97,3.0,195.0
98,3.0,195.0
99,3.0,195.0
100,3.0,195.0
101,3.0,195.0
102,3.0,195.0
103,3.0,195.0
104,3.0,195.0
105,3.0,195.0
106,3.0,195.0
107,3.0,195.0
108,3.0,195.0
109,3.0,195.0
110,3.0,195.0
111,3.0,195.0
112,3.0,195.0
113,3.0,195.0
114,3.0,195.0
115,3.0,195.0
116,3.0,195.0
117,3.0,195.0
118,3.0,195.0
119,3.0,195.0
120,3.0,195.0
121,3.0,195.0
122,3.0,195.0
123,3.0,195.0
124,3.0,195.0
125,3.0,195.0
126,3.0,195.0
127,3.0,195.0
128,3.0,195.0
129,3.0,195.0
130,3.0,195.0
131,3.0,195.0
132,3.0,195.0
133,3.0,195.0
134,3.0,195.0
135,3.0,195.0
136,3.0,195.0
137,3.0,195.0
138,3.0,195.0
139,3.0,195.0
140,3.0,178.0
141,0.0,178.0
142,0.0,178.0
143,0.0,178.0
