Turn,Happiness,Load
0,0,18
1,0,18
2,0,18
3,0,18
4,0,18
5,0,18
6,0,18
7,0,18
8,0,18
9,0,18
10,0,18
11,0,18
12,0,18
13,0,18
14,0,18
15,0,18
16,0,18
17,0,18
18,0,18
19,0,18
20,0,18
21,0,18
22,0,18
23,0,18
24,0,18
25,0,18
26,0,18
27,0,18
28,0,18
29,0,18
30,0,18
31,0,18
32,0,18
33,0,18
34,0,18
35,0,18
36,0,18
37,3,24
38,7,30
39,7,30
40,7,30
41,7,30
42,7,30
43,7,30
44,7,30
45,7,30
46,7,30
47,7,30
48,7,30
49,7,30
50,7,30
51,7,30
52,7,30
53,7,30
54,7,30
55,7,30
56,7,30
57,7,30
58,7,30
59,7,30
60,7,30
61,7,30
62,7,30
63,7,30
64,7,30
65,7,30
66,7,30
67,7,30
68,7,30
69,7,30
70,7,30
71,7,30
72,7,30
73,7,30
74,7,30
75,7,30
76,7,30
77,7,30
78,7,30
79,7,30
80,7,30
81,7,30
82,7,30
83,7,30
84,7,30
85,7,30
86,7,30
87,7,30
88,7,30
89,7,30
90,7,30
91,7,30
92,7,30
93,7,30
94,7,30
95,7,30
96,7,30
97,7,30
98,7,30
99,7,30
100,7,30
101,7,30
102,7,30
103,7,30
104,7,30
105,7,30
106,7,30
107,7,30
108,7,30
109,7,30
110,7,30
111,7,30
112,7,30
113,7,30
114,7,30
115,7,30
116,7,30
117,7,30
118,7,30
119,7,30
120,7,30
121,7,30
122,7,30
123,7,30
124,7,30
125,7,30
126,7,30
127,7,30
128,7,30
129,7,30
130,7,30
131,7,30
132,7,30
133,7,30
134,7,30
135,7,30
136,7,30
137,7,30
138,7,30
139,7,30
140,7,30
141,0,0
142,0,0
143,0,0
