Turn,Happiness,Load
0,0.0,144.0
1,0.0,144.0
2,0.0,144.0
3,0.0,144.0
4,0.0,144.0
5,0.0,144.0
6,0.0,144.0
7,0.0,177.0
8,8.0,177.0
9,8.0,177.0
10,8.0,177.0
11,8.0,177.0
12,8.0,177.0
13,8.0,177.0
14,8.0,177.0
15,8.0,177.0
16,8.0,177.0
17,8.0,177.0
18,8.0,177.0
19,8.0,177.0
20,8.0,177.0
21,8.0,177.0
22,8.0,177.0
23,8.0,177.0
24,8.0,177.0
25,8.0,177.0
26,8.0,177.0
27,8.0,177.0
28,8.0,177.0
29,8.0,177.0
30,8.0,177.0
31,8.0,177.0
32,8.0,177.0
33,8.0,177.0
34,8.0,177.0
35,8.0,177.0
36,8.0,177.0
37,8.0,177.0
38,8.0,177.0
39,8.0,177.0
40,8.0,177.0
41,8.0,177.0
42,8.0,177.0
43,8.0,177.0
44,8.0,177.0
45,8.0,177.0
46,8.0,177.0
47,8.0,177.0
48,8.0,177.0
49,8.0,177.0
50,8.0,177.0
51,8.0,177.0
52,8.0,177.0
53,8.0,177.0
54,8.0,177.0
55,8.0,177.0
56,8.0,177.0
57,8.0,177.0
58,8.0,177.0
59,8.0,177.0
60,8.0,177.0
61,8.0,177.0
62,8.0,177.0
63,8.0,177.0
64,8.0,177.0
65,8.0,177.0
66,8.0,177.0
67,8.0,177.0
68,8.0,177.0
69,8.0,177.0
70,8.0,177.0
71,8.0,177.0
72,8.0,177.0
73,8.0,177.0
74,8.0,177.0
75,8.0,177.0
76,8.0,177.0
77,8.0,177.0
78,8.0,177.0
79,8.0,177.0
80,8.0,177.0
81,8.0,177.0
82,8.0,177.0
83,8.0,177.0
84,8.0,177.0
85,8.0,177.0
86,8.0,177.0
87,8.0,177.0
88,8.0,177.0
89,8.0,177.0
90,8.0,177.0
91,8.0,177.0
92,8.0,177.0
93,8.0,177.0
94,8.0,177.0
95,8.0,177.0
96,8.0,177.0
97,8.0,177.0
98,8.0,177.0
99,8.0,177.0
100,8.0,177.0
101,8.0,177.0
102,8.0,177.0
103,8.0,177.0
104,8.0,177.0
105,8.0,177.0
106,8.0,177.0
107,8.0,177.0
108,8.0,177.0
109,8.0,177.0
110,8.0,177.0
111,8.0,177.0
112,8.0,177.0
113,8.0,177.0
114,8.0,177.0
115,8.0,177.0
116,8.0,177.0
117,8.0,177.0
118,8.0,177.0
119,8.0,177.0
120,8.0,177.0
121,8.0,177.0
122,8.0,177.0
123,8.0,177.0
124,8.0,177.0
125,8.0,177.0
126,8.0,177.0
127,8.0,177.0
128,8.0,177.0
129,8.0,177.0
130,8.0,177.0
131,8.0,177.0
132,8.0,177.0
133,8.0,177.0
134,8.0,177.0
135,8.0,177.0
136,8.0,177.0
137,8.0,177.0
138,8.0,177.0
139,8.0,177.0
140,8.0,177.0
141,8.0,177.0
142,8.0,177.0
143,8.0,177.0
