Turn,Happiness,Load
0,0,33
1,0,32
2,0,32
3,0,32
4,0,32
5,0,32
6,0,32
7,0,47
8,0,53
9,0,51
10,0,53
11,0,51
12,0,58
13,0,54
14,0,53
15,0,50
16,0,43
17,0,42
18,0,48
19,0,54
20,0,54
21,0,54
22,0,54
23,0,54
24,0,54
25,0,54
26,0,54
27,0,54
28,0,54
29,0,54
30,0,54
31,0,54
32,0,54
33,0,54
34,0,54
35,0,54
36,0,54
37,0,54
38,0,54
39,0,54
40,0,54
41,0,54
42,0,54
43,0,54
44,0,54
45,0,54
46,0,54
47,0,54
48,0,54
49,0,54
50,0,54
51,0,54
52,0,54
53,0,54
54,0,54
55,0,54
56,0,54
57,0,54
58,0,54
59,0,54
60,0,54
61,0,54
62,0,54
63,0,54
64,0,54
65,0,54
66,0,54
67,0,54
68,0,54
69,0,54
70,0,54
71,0,54
72,0,54
73,0,54
74,0,54
75,0,54
76,0,54
77,0,54
78,0,54
79,0,54
80,0,54
81,0,54
82,0,54
83,0,54
84,0,54
85,0,54
86,0,54
87,0,54
88,0,54
89,0,54
90,0,54
91,0,54
92,0,54
93,0,54
94,0,54
95,0,54
96,0,54
97,0,54
98,0,54
99,0,54
100,0,54
101,0,54
102,0,54
103,0,54
104,0,54
105,0,54
106,0,54
107,0,54
108,0,54
109,0,54
110,0,54
111,0,54
112,0,54
113,0,54
114,0,54
115,0,54
116,0,54
117,0,54
118,0,54
119,0,54
120,0,54
121,0,54
122,0,54
123,0,54
124,0,54
125,0,54
126,0,54
127,0,54
128,0,54
129,0,54
130,0,54
131,0,54
132,0,54
133,0,54
134,0,54
135,0,54
136,0,54
137,0,54
138,0,54
139,0,54
140,0,54
141,0,54
142,0,54
143,0,54
