Turn,Happiness,Load
0,0,31
1,0,31
2,0,31
3,0,31
4,0,31
5,0,31
6,0,31
7,0,31
8,0,31
9,0,31
10,0,31
11,0,31
12,0,31
13,0,31
14,0,31
15,0,31
16,0,31
17,0,31
18,0,31
19,0,31
20,0,31
21,0,31
22,0,31
23,0,31
24,0,31
25,0,31
26,0,31
27,0,31
28,0,31
29,0,31
30,0,31
31,0,31
32,0,31
33,0,31
34,4,49
35,0,41
36,0,41
37,0,41
38,0,41
39,0,41
40,0,41
41,0,41
42,0,41
43,0,41
44,0,41
45,0,41
46,0,41
47,0,41
48,0,41
49,0,41
50,0,41
51,0,41
52,0,41
53,0,41
54,0,41
55,0,41
56,0,41
57,0,41
58,0,41
59,0,41
60,0,41
61,0,41
62,0,41
63,0,41
64,0,41
65,0,41
66,0,41
67,0,41
68,0,41
69,0,41
70,0,41
71,0,41
72,0,41
73,0,41
74,0,41
75,0,41
76,0,41
77,0,41
78,0,41
79,0,41
80,0,41
81,0,41
82,0,41
83,0,41
84,0,41
85,0,41
86,0,41
87,0,41
88,0,41
89,0,41
90,0,41
91,0,41
92,0,41
93,0,41
94,0,41
95,0,41
96,0,41
97,0,41
98,0,41
99,0,41
100,0,41
101,0,41
102,0,41
103,0,41
104,0,41
105,0,41
106,0,41
107,0,41
108,0,41
109,0,41
110,0,41
111,0,41
112,0,41
113,0,41
114,0,41
115,0,41
116,0,41
117,0,41
118,0,41
119,0,41
120,0,41
121,0,41
122,0,41
123,0,41
124,0,41
125,0,41
126,0,41
127,0,41
128,0,41
129,0,41
130,0,41
131,0,41
132,0,41
133,0,41
134,0,41
135,0,41
136,0,41
137,0,41
138,0,41
139,0,41
140,0,41
141,0,41
142,0,41
143,0,41
